Untuned age model for the LR04  stack

    age in kyr,    benthic d18O
  3.1775776e+002  2.5737625e+000
  3.1886953e+002  2.6690214e+000
  3.1998131e+002  2.5922155e+000
  3.2109308e+002  2.5799625e+000
  3.2220486e+002  2.5938462e+000
  3.2331663e+002  2.5523419e+000
  3.2442841e+002  2.6569002e+000
  3.2554019e+002  2.6474288e+000
  3.2665196e+002  2.7524945e+000
  3.2776374e+002  2.7416667e+000
  3.2887551e+002  2.8695629e+000
  3.2998729e+002  3.1073968e+000
  3.3109907e+002  3.4395789e+000
  3.3221084e+002  3.5909007e+000
  3.3332262e+002  3.5347501e+000
  3.3430686e+002  3.7791560e+000
  3.3529109e+002  3.9574378e+000
  3.3627533e+002  4.1995861e+000
  3.3725957e+002  4.1865025e+000
  3.3824381e+002  4.1622522e+000
  3.3922805e+002  4.1160004e+000
  3.4021229e+002  4.1516759e+000
  3.4119652e+002  4.0392853e+000
  3.4218076e+002  3.8852961e+000
  3.4316500e+002  3.8453395e+000
  3.4414924e+002  3.9759988e+000
  3.4513348e+002  4.0291452e+000
  3.4611772e+002  4.0029643e+000
  3.4710196e+002  3.8331868e+000
  3.4808619e+002  3.8312751e+000
  3.4907043e+002  3.7574490e+000
  3.5005467e+002  3.9457993e+000
  3.5103891e+002  3.8164849e+000
  3.5202315e+002  3.9095288e+000
  3.5300739e+002  3.9354714e+000
  3.5399163e+002  3.8495526e+000
  3.5497586e+002  3.8954768e+000
  3.5596010e+002  3.8554374e+000
  3.5694434e+002  3.8559817e+000
  3.5792858e+002  3.8876802e+000
  3.5891282e+002  3.7161717e+000
  3.5991239e+002  3.8188932e+000
  3.6091196e+002  3.6829099e+000
  3.6191154e+002  3.7307598e+000
  3.6291111e+002  3.7585724e+000
  3.6391068e+002  3.7388429e+000
  3.6491026e+002  3.7199063e+000
  3.6590983e+002  3.6313110e+000
  3.6690940e+002  3.7834245e+000
  3.6790898e+002  3.6469991e+000
  3.6890855e+002  3.6975628e+000
  3.6990812e+002  3.5558277e+000
  3.7090769e+002  3.5704319e+000
  3.7190727e+002  3.5575537e+000
  3.7290684e+002  3.5452090e+000
  3.7390641e+002  3.5334367e+000
  3.7490599e+002  3.5536003e+000
  3.7590556e+002  3.5115898e+000
  3.7690513e+002  3.4087333e+000
  3.7790470e+002  3.4773615e+000
  3.7890428e+002  3.4432729e+000
  3.7990385e+002  3.4984493e+000
  3.8090342e+002  3.3767291e+000
  3.8190300e+002  3.3494988e+000
  3.8290257e+002  3.2788954e+000
  3.8390214e+002  3.2481344e+000
  3.8490172e+002  3.3215536e+000
  3.8605538e+002  3.3566287e+000
  3.8720905e+002  3.3276554e+000
  3.8836271e+002  3.2168946e+000
  3.8951638e+002  3.2788034e+000
  3.9067004e+002  3.1194802e+000
  3.9182371e+002  3.0750908e+000
  3.9297737e+002  2.8254004e+000
  3.9413104e+002  2.9049904e+000
  3.9528470e+002  2.8396844e+000
  3.9643837e+002  2.6776618e+000
  3.9759203e+002  2.5551438e+000
  3.9874570e+002  2.5284803e+000
  3.9989937e+002  2.5140088e+000
  4.0105303e+002  2.5591286e+000
  4.0220670e+002  2.4738185e+000
  4.0336036e+002  2.5525376e+000
  4.0451403e+002  2.5712281e+000
  4.0566769e+002  2.5290325e+000
  4.0682136e+002  2.5781748e+000
  4.0797502e+002  2.5101492e+000
  4.0912869e+002  2.6461704e+000
  4.1028235e+002  2.6670388e+000
  4.1143602e+002  2.7441777e+000
  4.1258968e+002  2.7748409e+000
  4.1374335e+002  2.7739396e+000
  4.1489701e+002  2.8650315e+000
  4.1596476e+002  2.9322133e+000
  4.1703250e+002  3.1075558e+000
  4.1810024e+002  3.1664325e+000
  4.1916798e+002  3.1309736e+000
  4.2023573e+002  3.2070707e+000
  4.2130347e+002  3.3032118e+000
  4.2237121e+002  3.3814425e+000
  4.2343896e+002  3.2806051e+000
  4.2450670e+002  3.6638628e+000
  4.2557444e+002  3.8635283e+000
  4.2664218e+002  3.6638248e+000
  4.2770993e+002  4.0824127e+000
  4.2877767e+002  4.2745073e+000
  4.2984541e+002  4.3401257e+000
  4.3091315e+002  4.4112569e+000
  4.3198090e+002  4.4112027e+000
  4.3304864e+002  4.4379650e+000
  4.3411638e+002  4.4357544e+000
  4.3518412e+002  4.3793059e+000
  4.3625187e+002  4.4342588e+000
  4.3731961e+002  4.2575655e+000
  4.3838735e+002  4.1528206e+000
  4.3945509e+002  4.2347262e+000
  4.4052284e+002  4.1247625e+000
  4.4159058e+002  4.3088588e+000
  4.4265832e+002  4.3228107e+000
  4.4375244e+002  4.2658582e+000
  4.4484655e+002  4.1841317e+000
  4.4594067e+002  4.2734086e+000
  4.4703479e+002  4.1825429e+000
  4.4812890e+002  3.8657419e+000
  4.4922302e+002  4.1252832e+000
  4.5031713e+002  4.0853578e+000
  4.5141125e+002  4.1092564e+000
  4.5250537e+002  3.9417655e+000
  4.5359948e+002  4.0937262e+000
  4.5469360e+002  3.9193677e+000
  4.5578772e+002  3.9568896e+000
  4.5688183e+002  3.7725640e+000
  4.5797595e+002  3.9825974e+000
  4.5907006e+002  3.9881654e+000
  4.6016418e+002  3.9070189e+000
  4.6125830e+002  3.9859930e+000
  4.6235241e+002  3.9210999e+000
  4.6344653e+002  3.9462330e+000
  4.6454064e+002  3.9716287e+000
  4.6563476e+002  3.9735272e+000
  4.6672888e+002  3.7960691e+000
  4.6782299e+002  3.9323549e+000
  4.6891711e+002  3.8229467e+000
  4.7001122e+002  3.8009022e+000
  4.7110534e+002  3.7363065e+000
  4.7219579e+002  3.8713079e+000
  4.7328624e+002  3.6919051e+000
  4.7437669e+002  3.6090825e+000
  4.7546714e+002  3.6786083e+000
  4.7655759e+002  3.7240521e+000
  4.7764804e+002  3.7479961e+000
  4.7873849e+002  3.7055648e+000
  4.7982894e+002  3.6556971e+000
  4.8091939e+002  3.6291318e+000
  4.8200984e+002  3.5816596e+000
  4.8310029e+002  3.4781734e+000
  4.8419074e+002  3.4800600e+000
  4.8528119e+002  3.5324612e+000
  4.8637164e+002  3.3669563e+000
  4.8746209e+002  3.3336098e+000
  4.8855254e+002  3.1484086e+000
  4.8964299e+002  3.1723786e+000
  4.9073344e+002  3.1173830e+000
  4.9182389e+002  3.0768378e+000
  4.9291434e+002  3.0328117e+000
  4.9400479e+002  2.9620153e+000
  4.9509524e+002  2.8976334e+000
  4.9618570e+002  2.8276929e+000
  4.9727615e+002  2.9940905e+000
  4.9836660e+002  3.0847969e+000
  4.9945705e+002  3.1912644e+000
  5.0043010e+002  3.1902563e+000
  5.0140316e+002  3.1940285e+000
  5.0237622e+002  3.0395062e+000
  5.0334928e+002  3.1754799e+000
  5.0432234e+002  3.1060230e+000
  5.0529540e+002  3.1966765e+000
  5.0626846e+002  3.1447895e+000
  5.0724152e+002  3.1133030e+000
  5.0821458e+002  3.1690835e+000
  5.0918764e+002  3.2662186e+000
  5.1016070e+002  3.2235972e+000
  5.1113376e+002  3.3650877e+000
  5.1210682e+002  3.2903598e+000
  5.1307987e+002  3.5171766e+000
  5.1405293e+002  3.4223546e+000
  5.1502599e+002  3.4998470e+000
  5.1599905e+002  3.4214997e+000
  5.1697211e+002  3.5815692e+000
  5.1794517e+002  3.6082889e+000
  5.1891823e+002  3.4643958e+000
  5.1989129e+002  3.4631378e+000
  5.2086435e+002  3.3731512e+000
  5.2183741e+002  3.3216108e+000
  5.2281047e+002  3.4312960e+000
  5.2378353e+002  3.3151526e+000
  5.2475659e+002  3.3110707e+000
  5.2570869e+002  3.2674690e+000
  5.2666079e+002  3.2356801e+000
  5.2761289e+002  3.2873441e+000
  5.2856499e+002  3.1948585e+000
  5.2951709e+002  3.2849281e+000
  5.3046919e+002  3.3283068e+000
  5.3142129e+002  3.3236084e+000
  5.3237339e+002  3.2770708e+000
  5.3332549e+002  3.3502147e+000
  5.3427759e+002  3.3333718e+000
  5.3522969e+002  3.2796736e+000
  5.3618179e+002  3.3715447e+000
  5.3713389e+002  3.4715752e+000
  5.3808599e+002  3.6301425e+000
  5.3903809e+002  3.6458981e+000
  5.3999019e+002  3.9087077e+000
  5.4094229e+002  3.7916800e+000
  5.4189439e+002  3.9041035e+000
  5.4284649e+002  3.8387062e+000
  5.4379859e+002  3.8863697e+000
  5.4475069e+002  3.8634031e+000
  5.4570279e+002  3.8061796e+000
  5.4665489e+002  3.8062493e+000
  5.4760700e+002  3.8177338e+000
  5.4855910e+002  3.7939384e+000
  5.4951120e+002  3.8659210e+000
  5.5049000e+002  3.8854182e+000
  5.5146880e+002  3.9108519e+000
  5.5244761e+002  3.8878276e+000
  5.5342641e+002  3.8645847e+000
  5.5440521e+002  3.8116012e+000
  5.5538401e+002  3.8784742e+000
  5.5636282e+002  3.8222515e+000
  5.5734162e+002  3.6548477e+000
  5.5832042e+002  3.6061720e+000
  5.5929923e+002  3.7469621e+000
  5.6027803e+002  3.7060828e+000
  5.6125683e+002  3.6089447e+000
  5.6223564e+002  3.5333732e+000
  5.6321444e+002  3.4994594e+000
  5.6419324e+002  3.5685841e+000
  5.6517205e+002  3.4959460e+000
  5.6615085e+002  3.5317313e+000
  5.6712965e+002  3.3722166e+000
  5.6810845e+002  3.3221062e+000
  5.6908726e+002  3.2169315e+000
  5.7006606e+002  3.3022334e+000
  5.7104486e+002  3.3586059e+000
  5.7202367e+002  3.3329195e+000
  5.7300247e+002  3.2710893e+000
  5.7398127e+002  3.2529684e+000
  5.7496008e+002  2.9524510e+000
  5.7598389e+002  3.0102902e+000
  5.7700770e+002  3.0896137e+000
  5.7803152e+002  2.7490177e+000
  5.7905533e+002  2.8160337e+000
  5.8007915e+002  2.8447933e+000
  5.8110296e+002  2.8616905e+000
  5.8212678e+002  2.9288641e+000
  5.8315059e+002  3.0528356e+000
  5.8417441e+002  3.3632679e+000
  5.8519822e+002  3.4919324e+000
  5.8622204e+002  3.6463101e+000
  5.8724585e+002  3.6679261e+000
  5.8826966e+002  3.6887621e+000
  5.8929348e+002  3.5416426e+000
  5.9031729e+002  3.4704230e+000
  5.9134111e+002  3.5502847e+000
  5.9236492e+002  3.4268813e+000
  5.9338874e+002  3.4511327e+000
  5.9441255e+002  3.4343080e+000
  5.9543637e+002  3.3813118e+000
  5.9646018e+002  3.3501868e+000
  5.9748399e+002  3.2618765e+000
  5.9850781e+002  3.2425959e+000
  5.9953162e+002  3.2456475e+000
  6.0055544e+002  3.1565360e+000
  6.0157925e+002  3.3508784e+000
  6.0243593e+002  3.3818217e+000
  6.0329261e+002  3.4278793e+000
  6.0500597e+002  3.3258746e+000
  6.0671933e+002  3.1287309e+000
  6.0843269e+002  3.1590919e+000
  6.1014605e+002  3.1581413e+000
  6.1185941e+002  2.8540475e+000
  6.1357277e+002  2.8848041e+000
  6.1528613e+002  2.8909494e+000
  6.1699949e+002  3.0160953e+000
  6.1871285e+002  3.1719170e+000
  6.2042621e+002  3.4466255e+000
  6.2213957e+002  3.6670200e+000
  6.2385293e+002  3.9919269e+000
  6.2550688e+002  4.2619818e+000
